Name,Gender,pronunciation,Type,Sub-type,Igbo Orthography,Translation,Meaning,Related Names,Notes,Famous persons,Name Spread,Ndebe Script
Chukwunweike,,,,,/Chukwu-nwe-ike/ God is all powerful (also rendered as Chinweike),,,,,,,
Chukwunwike,,,,,See: Chukwunweike,,,,,,,
Chukwuogo,,,,,/Chukwu-?g?/ God of Favour,,,,,,,
Chukwurah,,,,,,,,,,,,
Chuma,,,,,God Knows. A var. of Chima. Short for Chukwuma,,,,,,,
Daberechi,,,,,/Dabere-chi/ Lean on God,,,,,,,
Dibia,,,,,/Dibia/ Diviner or medicine man,,,,,,,
Dibor,,,,,/Di-ib?/ A second husband. (A name of endearment for a male child),,,,,,,
Diji,,,,,/Di-ji/ Man rich in Yam. Yam barns were measure of wealth in parts of igbo land,,,,,,,
Dike,,,,,/Dike/ A warrior. A Man of great accomplishment or feat.,,,,,,,
Dilibe,,,,,,,,,,,,
Dimaka,,,,,,,,,,,,
Dinyelu,,,,,,,,,,,,
Dunuoruchili,,,,,,,,,,,,
Duru,,,,,,,,,,,,
Ebele,,,,,/Ebele/ Mercy. Commonly Ebelechukwu,,,,,,,
Ebele,,,,,/Ebele/ Mercy. A dialectal var. of Ebere,,,,,,,
Ebelechukwu,,,,,/Ebele-chukwu/ God's Mercy,,,,,,,
Ebere,,,,,/Ebere/ Mercy. A dialectal var. of Ebele,,,,,,,
Ebogha,,,,,,,,,,,,
Ebube,,,,,/Ebube/ Glory,,,,,,,
Ebubedike,,,,,/Ebube-dike/ The Glory of a warrior or someone of great accomplishment,,,,,,,
Ebuka,,,,,See: Chukwuebuka,,,,,,,
Echeazu,,,,,/Eche-azu/ To reflect,,,,,,,
Echele,,,,,,,,,,,,
Echeruo,,,,,,,,,,,,
Echetebu,,,,,,,,,,,,
Echezona,,,,,/Echez?na/ Do not forget,,,,,,,
Edeh,,,,,,,,,,,,
Edewor,,,,,,,,,,,,
Edochie,,,,,/Edoch?e/ To Replace; It has been replaced; One who is seen as replacement for something taken or lost. A  passive var. of Onochie,,,,,,,
Efobi,,,,,,,,,,,,
Egbogah,,,,,/Egboo-ogaa/ Progress is only possible after resolution of differences,,,,,,,
Egboka,,,,,"short for Aniegboka, Chiegboka",,,,,,,
Egbosi,,,,,,,,,,,,
Egbuawa,,,,,,,,,,,,
Egbune,,,,,/Egbune/ Do not kill. Short for Onwuegbune,,,,,,,
Egbunonu,,,,,lit: Do not smite the mouth. imp: Do not silence your voice (that would speak). Speak your mind boldly,,,,,,,
Egerue,,,,,,,,,,,,
Egwu,,,,,/Egwu/  Fear,,,,,,,
Egwuim,,,,,,,,,,,,
Egwuonwu,,,,,/Egwu-?nw?/ The fear of death,,,,,,,
Ejekwo,,,,,,,,,,,,
Ejezie,,,,,/Ejezie/ A successful errand or visit,,,,,,,
Ejidike,,,,,,,,,,,,
Ejikeme,,,,,"/E-ji-ike-eme/ 1. Do we prevail by strength? 2. We prevail by strength. *Depending on tonal inflection when spoken, could mean either 1 or 2",,,,,,,
Ejimakor,,,,,/E-ji-m-ak?/ ,,,,,,,
Ejiofor,,,,,/E-ji-?f?/ One who acts in good faith ,,,,,,,
Ejiogu,,,,,,,,,,,,
Eke (1),,,,,/Eke/ One of the four Market days of the Igbo week,,,,,,,
Eke (2),,,,,/Eke/ 1. Creation or the Creative essence of Chi. 2. Short for Chineke. Sometimes rendered as Ekeh to distinguish from Eke(1) See also the name Okike,,,,,,,
Ekeh,,,,,"Creation or the Creative essence of Chi. Commonly in the expression ""Chineke"": God who creates. See also the name Okike",,,,,,,
Ekejimma,,,,,/Eke-ji-mma/ Creation holds all good things,,,,,,,
Ekejindu,,,,,/Eke-ji-nd?/ Creation holds life. A var. of Chijindu,,,,,,,
Ekeke,,,,,/Eke-eke/ A creation on Eke day. *A child born on Eke day. A var. of Okeke,,,,,,,
Ekemezie,,,,,"/Eke-emezie/ Eke has remedied (a situation). For a child born on Eke day. See Afoemezie, Chiemezie",,,,,,,
Ekene,,,,,/Ekene/ Gratitude. Often short for: Ekenedilichukwu,,,,,,,
Ekenedilichukwu,,,,,/Ekene-d?l?-chukwu/ Gratitude to God,,,,,,,
Ekengwu,,,,,/Eke-ngwu/ Ngwu's Creation,,,,,,,
Ekenna,,,,,/Eke-nna/ The Father's creation,,,,,,,
Ekeocha,,,,,,,,,,,,
Ekeoha,,,,,/Eke-?ha/ One made for the people See Nwora,,,,,,,
Ekezie,,,,,/Ekezie/ To apportion fairly. A  generalized var. of Okezie. Also a short for Chikezie,,,,,,,
Ekpe,,,,,,,,,,,,
Ekpelu,,,,,,,,,,,,
Ekpere,,,,,/Ekpere/ Prayers,,,,,,,
Ekpereka,,,,,/Ekpere-ka/ Prayers is far superior,,,,,,,
Ekwealor,,,,,,,,,,,,
Ekweanya,,,,,,,,,,,,
Ekwebelem,,,,,,,,,,,,
Ekweke,,,,,,,,,,,,
Ekwensi,,,,,,,,,,,,
Ekwenugo,,,,,,,,,,,,
Ekweonu,,,,,,,,,,,,
Ekweozor,,,,,,,,,,,,
Ekweremadu,,,,,/E-kwere-Mmadu/ Did one agree with any human or Did one permit any human?,,,,,,,
Ekwueme,,,,,/Ekwu-eme/ One who does exactly as he says or One whose words are his bound.,,,,,,,
Ekwunife,,,,,,,,,,,,
Ekwutosi,,,,,/Ekwut?s?/ Short for Ekwutosina'm: Stop defaming me,,,,,,,
Elebuwa,,,,,/Elebe-?wa/ To watch the world (in resignation). A dialectal var. of Enebuwa,,,,,,,
Eleje,,,,,,,,,,,,
Elendu,,,,,/Ele-nd?/ To look upon life with hope. A var of Enemuo. A dialectal var. of Enendu,,,,,,,
Elo,,,,,"/Elo/ Counsel or To reason Short for Elochukwu, Eloka",,,,,,,
Elochukwu,,,,,/Elo-chukwu/ God's Counsel,,,,,,,
Eloka,,,,,/Elo-ka/ A good counsel is worth more,,,,,,,
Elozona,,,,,/Elozona/ A dialectal var of Echezona,,,,,,,
Eluchie,,,,,"/Eluchie/ To regrow (like grass in farmland. See Edochie, Onochie, Adichie group of names that implies succession",,,,,,,
Emeagwali,,,,,,,,,,,,
Emegini,,,,,"/Eme-g?n?/ What did I do? A  dialectal var. of Emerenini; A var. Emelulumonye, Emelumadu, Emeluwa",,,,,,,
Emeh,,,,,,,,,,,,
Emelibe,,,,,,,,,,,,
Emelogu,,,,,,,,,,,,
Emelulumonye,,,,,/Emel?l?-m-onye/ Who have I wronged or Who did I wrong,,,,,,,
Emelumadu,,,,,/Emel?-mmad?/ Did we wrong any one?,,,,,,,
Emeluwa,,,,,/Emel?-?wa/ Did we wrong the world?,,,,,,,
Emenike,,,,,/Emena-na-ike/ short for the expression /Emene-uwa-na-ike/ Go easy- Do not take engage the world forcefully. See also Ejikeme,,,,,,,
Emenogha,,,,,,,,,,,,
Emenyi,,,,,,,,,,,,
Emenyonu,,,,,,,,,,,,
Emerenini,,,,,/Emere-nini/ lit. What did we do? What wrong did we commit? A dialectal var of Emegini,,,,,,,
Emeribe,,,,,,,,,,,,
Emezi,,,,,,,,,,,,
Emordi,,,,,/Eme-?d?/ One whose works are lasting,,,,,,,
Enebechi,,,,,/Enebe-chi/ To keep focus on God,,,,,,,
Enebuwa,,,,,/Enebe-?wa/ To watch the world (in resignation). A dialectal var. of Elebuwa,,,,,,,
Enekwe,,,,,,,,,,,,
Enemuo,,,,,/Ene-mm??/ The look upon the spirit being expectantly. A var of Enendu,,,,,,,
Enendu,,,,,/Ene-nd?/ To look upon life with hope. A var of Enemuo. A dialectal var. of Elendu,,,,,,,
Enukora,,,,,/Enu-ka-ora/ Heaven/ What is above is mightier than the people,,,,,,,
Enunweoke,,,,,/Enu-nwe-oke/ lit: The heavens own my portion. Another rendering of Chinweoke,,,,,,,
Enweonwu,,,,,/Enwe-?nw?/ lit: Does anyone have ownership of death? imp: Is death loyal to anyone?,,,,,,,
Eruchalu,,,,,,,,,,,,
Esomchukwu,,,,,/E-so-m-chukwu/ I am following God,,,,,,,
Esoro,,,,,,,,,,,,
Eto,,,,,/Eto/ Probably from Anaeto or Ibeto. To praise,,,,,,,
Eyisi,,,,,,,,,,,,
Eyiuche,,,,,,,,,,,,
Eze,,,,,"/Eze/ 1. King 2. Priest. Eg. Eze Udo is the High priest of the Udo deity; Eze-Ala is the priest of Ala deity; Eze Nri is the Chief priest of the Nri Kingdom. 3. A prefix deployed as identifier for holders of the Eze- class of Ozo title. Originally deployed in the same way a ""Sir"" is for knights in say, ""Sir John""; but has become part of the name. e.g. Ezeokeke. See Ozo",,,,,,,
Ezeagwu,,,,,/Eze-agw?/ Priest of Agwu,,,,,,,
Ezeajughi,,,,,/Eze-ajughi/ lit: The kingship has not rejected (me). See Ifeajuna and Ezekwesili,,,,,,,
Ezeakabudu,,,,,/Eze-Akabudu/ Proper rendering is Eze-Akabudu. See Ozo and Eze for context,,,,,,,
Ezeakunne,,,,,/Eze-ak?-nne/ 1. lit: The priest or king of his mother's wealth.  2. Proper rendering is Eze-Akunne. See Ozo and Eze for context,,,,,,,
Ezeala,,,,,/Eze-ala/ The priest of Ala. A var of Ezeani,,,,,,,
Ezeani,,,,,/Eze-an?/ Priest of Ani. A dialectal var. of Ezeala,,,,,,,
Ezeanochie,,,,,/Eze-an?chie/ lit: A king has taken the place of another,,,,,,,
Ezeasoanya,,,,,/Eze-as?-anya/ A king is irreverent,,,,,,,
Ezeasor,,,,,Short for Ezeasoanya,,,,,,,
Ezebo,,,,,,,,,,,,
Ezebuilo,,,,,/Eze-b?-ilo/ A king is an enemy,,,,,,,
Ezechukwu,,,,,/Eze-chukwu/ Proper rendering is Eze-Chukwu. See Ozo and Eze for context,,,,,,,
Ezedinugwu,,,,,/Eze-d?-na-ugwu/ Kingship/the throne is set on a hill. imp: Attaining the throne/wealth/prestige is a difficult endeavor,,,,,,,
Ezediokpu,,,,,/Eze-d?-?kp?/ A tough or formidable King,,,,,,,
Ezegbulem,,,,,/Eze-egbule-m/ lit: May the kingship not kill me,,,,,,,
Ezeh,,,,,/Eze/ See Eze,,,,,,,
Ezeife,,,,,/Eze-ife/ A king or Priest of light,,,,,,,
Ezeigwe,,,,,/Eze-igwe/ The king of a multitude,,,,,,,
Ezeikpe,,,,,/Eze-ikpe/ Judge. A king or priest who sits in judgment,,,,,,,
Ezeilo,,,,,Contraction of Ezebuilo,,,,,,,
Ezeimo,,,,,/Eze-imo/ The priest of Imoh,,,,,,,
Ezejiaku,,,,,/Eze-ji-ak?/ The King who holds wealth,,,,,,,
Ezejiofor,,,,,/Eze-j?-?f?/ The King holds the Ofor,,,,,,,
Ezekwem,,,,,/Eze-kwe-m/ May the  kingship/priesthood suit  me,,,,,,,
Ezekwesili,,,,,/Eze-kwes?l?/ Deserving of the kingship or Fit for the throne,,,,,,,
Ezekwugo,,,,,/Eze-kwe-Ugo/ from /Eze-Kwelu-Ugo/ A king deserving of honour,,,,,,,
Ezenagu,,,,,/Eze-na-ag?/ (One who) covets the throne/kingship,,,,,,,
Ezenwa,,,,,/Eze-nwa/ lit: The child king,,,,,,,
Ezenwajiaku,,,,,/Eze-nwa-ji-ak?/ Proper rendering is Eze-Nwajiaku. See Ozo for context ,,,,,,,
Ezenwankwo,,,,,/Eze-Okonkw?/ Proper rendering is Eze-Okonkwo. See Ozo for context,,,,,,,
Ezenwugo,,,,,/Eze-nwa-ugo/ Proper rendering is Eze-Nwugo. See Ozo for context,,,,,,,
Ezeobi,,,,,/Eze-Obi/ 1. lit: The king of the Obi. 2. Proper rendering is Eze-Obi. See Ozo for context.,,,,,,,
Ezeohakem,,,,,/Eze-?hakem/ Proper rendering is Eze-?hakem. See Ozo for context,,,,,,,
Ezeoka,,,,,/Eze-?ka/ lit: The king who is above all,,,,,,,
Ezeokafor,,,,,/Eze-Okaf?/ Proper rendering is Eze-Okafor. See Ozo for context,,,,,,,
Ezeokeke,,,,,/Eze-Okeke/ Proper rendering is Eze-Okoye. See Ozo for context,,,,,,,
Ezeoma,,,,,/Eze-?ma/ lit: The good king,,,,,,,
Ezeonu,,,,,,,,,,,,
Ezeonuegbu,,,,,/Eze-?n?-egbu/ Proper rendering is Eze-Onuegbu. See Eze or Ozo for detail,,,,,,,
Ezeonwumelu,,,,,/Eze-?nw?-mel?/  Proper rendering is Eze-Onuegbu. See Eze or Ozo for detail,,,,,,,
Ezeonwuria,,,,,/Eze-???r?a/ Proper rendering is Eze-Onwuria. See Ozo for context,,,,,,,
Ezeudo,,,,,/Eze-udo/ 1. The king of peace 2. The priest of Udo deity,,,,,,,
Ezi,,,,,/Ezi/ Path or Road. See also Uzo,,,,,,,
Eziechina,,,,,"/Ezi-echina/ May my paths (to wealth) never cease or become unprofitable. See also Uzoechina, Amaechina, Obodoechina",,,,,,,
Eziegbene,,,,,/Ezi-egbene/ The path of the cockrell ,,,,,,,
Ezieke,,,,,/Ezi-eke/ Good creation,,,,,,,
Ezike,,,,,,,,,,,,
Ezikuno,,,,,/Ezi-ka-un?/ The road far better than home. Possibly by a father who has found fortune or stability on his travel ,,,,,,,
Ezimma,,,,,/Ezi-mma/ True beauty,,,,,,,
Ezinne,,,,,/Ezi-nne/ Good Mother,,,,,,,
Ezinwa,,,,,/Ezi-nwa/ lit: True Child. imp: A child who is exemplary,,,,,,,
Ezisi,,,,,,,,,,,,
Eziuzo,,,,,/Ezi-?z?/ The right/good path.,,,,,,,
Ezugo,,,,,/Ezugo/ Short for Chukwuezugo,,,,,,,
Ezurike,,,,,/Ezuru-ike/ To take a rest. Possibly the short for Onwuezurike,,,,,,,
Ezuruka,,,,,/Ezuru-ka/ lit: (A group) who match a situation and exceed expectation. imp: Formidable. More than capable.,,,,,,,
Febechi,,,,,/Febe-chi/ Keep worshiping God,,,,,,,
Ginika,,,,,/G?n?-ka/ What is greater? Commonly Ginikachukwu,,,,,,,
Ginikachukwu,,,,,/G?n?-ka-chukwu/ What is greater than God,,,,,,,
Gozie,,,,,/G?zie/ lit: Bless. short for Chigozie,,,,,,,
Ibe,,,,,/Ibe/ Peers or Kiths,,,,,,,
Ibeabuchi,,,,,/Ibe-ab?r?-Chi/ My peers/kiths are not God,,,,,,,
Ibeagwu,,,,,/Ibe-agw?/ Peers are never in short supply,,,,,,,
Ibeakor,,,,,"/Ibe-ak?/ May peers never cease to surround me. Full expression :""Ibe-ak?-na-m"". imp: May I always find help. A var of Maduakor and Ibeagwu",,,,,,,
Ibeanusi ,,,,,,,,,,,,
Ibeaso,,,,,,,,,,,,
Ibegbunam,,,,,/Ibe-egbuna-m/ May my peers not kill me,,,,,,,
Ibeka ,,,,,/Ibe-ka/ My kiths are more formidable,,,,,,,
Ibekwe,,,,,/Ibe-kwe/ May my peers be agreeable,,,,,,,
Ibeto,,,,,/Ibe-eto/ Praise from my peers. Other var. Anaeto,,,,,,,
Ibezim,,,,,/Ibe-ezi-m/ My peers have shown me. Short for Ibezimako,,,,,,,
Ibezimako,,,,,/Ibe-ezi-m-ak?/ My peers have shown me or taught me to be wise,,,,,,,
Icheke,,,,,,,,,,,,
Ide,,,,,,,,,,,,
Idika,,,,,,,,,,,,
Idiko,,,,,,,,,,,,
Idinakachukwu,,,,,/?d?-na-aka-chukwu/ You are in God's hands,,,,,,,
Ifeajekwu,,,,,/Ife-ajekwu/ What shall they say (now). ,,,,,,,
Ifeajuna,,,,,/Ife-aj?na/ of ambition.Nothing should refuse/reject (my overtures).  See Ezeajughi,,,,,,,
Ifeakandu,,,,,/Ife-aka-nd?/ Contraction of /Ife-akar?-nd?/ Nothing is better than life or living,,,,,,,
Ifeanyi,,,,,Short for Ifeanyichukwu,,,,,,,
Ifeanyichukwu,,,,,/Ife-anyir?-chukwu/ Nothing is impossible to God,,,,,,,
Ifeatu,,,,,/Ife-at?/ A shining light/ Something remakable/ Something Examplary,,,,,,,
Ifebi,,,,,/Ife-bi/ A thing lives,,,,,,,
Ifechi (1),,,,,/Ife-chi/ The light of God. Also rendered as Ifechukwu (1),,,,,,,
Ifechi (2),,,,,/Ife-chukwu/ God's possession. Also rendered as Ifechukwu (2),,,,,,,
Ifechukwu (1),,,,,/Ife-chukwu/ The light of God. Also rendered as Ifechi (1),,,,,,,
Ifechukwu (2),,,,,/Ife-chukwu/ God's possession. Also rendered as Ifechi (2),,,,,,,
Ifediba,,,,,"/Ife-d?ba/ May things keep being- may wealth continue, may life continue",,,,,,,
Ifediora,,,,,/Ife-d?-?ra/ Short for: Ifedioramma. Whatever pleases the people,,,,,,,
Ifedora,,,,,Anglicised rendering of Ifediora,,,,,,,
Ifejika,,,,,/Ife-ejiri-ka/ Someone or thing by which we surpass the others.  A dialectal var. of Ihejirika ,,,,,,,
Ifejuka,,,,,/Ife-ju-ka/ May things come in full measure and run over,,,,,,,
Ifekandu,,,,,/Ife-ka-nd?/ Something greater than or beyond life or living,,,,,,,
Ifekwunigwe,,,,,/Ife-kw?-na-igwe/ One or a thing that stands in the sky,,,,,,,
Ifemenam,,,,,/Ife-emena-m/ Nothing (no evil) should befall me,,,,,,,
Ifemesia,,,,,/Ife-emes?-a/ An event has ceased,,,,,,,
Ifengwu,,,,,/Ife-ngwu/ Ngwu's possession,,,,,,,
Ifenna,,,,,/Ife-nna/ A reflection/image of the father. ,,,,,,,
Ifeoma,,,,,/ife-?ma/ Good Thing(s). A dialectal var. of Iheoma,,,,,,,
Ifeora,,,,,/Ife-?ma/ A people's heritage or inheritance or possession,,,,,,,
Ifesi,,,,,Short for Ifesinachi,,,,,,,
Ifesinachi,,,,,/Ife-si-na-chi/ Things come from God or The thing that comes from God,,,,,,,
Ifeyinwa,,,,,/Ife-eyi-nwa/ Nothing can be compared to a child,,,,,,,
Ifeyinwa,,,,,/Ife-eyiro-nwa/ Nothing bests the child. The child is the sweetest thing,,,,,,,
Ifunanya,,,,,"/Ifu-na-anya/ Love. This name, Trans-lit., means ""To see in one's eyes."" * The culture treated in the movie Avatar had a similar expression for Love",,,,,,,
Ify,,,,,"Short form and often as a sign of endearment for names like: Ifeanyi, Ifeyinwa, Ifeoma",,,,,,,
Igboanu,,,,,/Igbo-an?/ Igbos have heard. Short for Igboanugo,,,,,,,
Igboanugo,,,,,/Igbo-anugo/ Igbos have heard. A var of Mbanugo,,,,,,,
Igboeli,,,,,,,,,,,,
Igboesorom,,,,,/Igbo-esoro-m/ lit: Igbos have followed me. imp: Igbos have chosen me to lead,,,,,,,
Igbokwe,,,,,/Igbo-kwe/ Let the Igbos agree. ,,,,,,,
Igbonazobi,,,,,/Igbo-na-az?-obi/ lit: Igbos save the obi. ,,,,,,,
Igwe (1),,,,,/Igwe/ 1. Heaven or sky. 2. A paramount ruler,,,,,,,
Igwe (2),,,,,/Igwe/ 1. A troop/group/multitude.,,,,,,,
Igweagu,,,,,/Igwe-ag?/ A pack of Leopards,,,,,,,
Igwebuike,,,,,/Igwe-bu-ike/ Strength abides in the numbers,,,,,,,
Igwedibia,,,,,/Igwe-dibia/ A crowd/Multitude/colony of traditional medicine men,,,,,,,
Igwegbe,,,,,/Igwe-egbe/ A flock of hawks,,,,,,,
Igwenagu,,,,,/Igwe-na-ag?/ One desiring a Multitude (of descendants),,,,,,,
Igweneme,,,,,/Igwe-na-eme/ Multitude makes progress,,,,,,,
Igwenyi,,,,,/Igwe-eny?/ A herd of elephants,,,,,,,
Iheanacho,,,,,/Ihe-ana-ach?/ The things we desired. *Usually in relation to having received what was desired,,,,,,,
Ihebuzor,,,,,/Ihe-bu-?z?/ Something or one that leads the way,,,,,,,
Ihedioha,,,,,"/Ihe-d?-?ha/ short for ""Ihe-d?-?ha-mma"". Whatever or a thing that pleases the people",,,,,,,
Ihejirika,,,,,/Ihe-ejiri-ka/ Someone or thing by which we surpass the others. A dialectal var. of Ifejika,,,,,,,
Iheme,,,,,"/Ihe-eme/ Nothing happens. Short for the expression ""Ihe eme na nkiti"" meaning: Nothing happens without a cause",,,,,,,
Iheoma,,,,,/Ihe-?ma/ Good Thing(s). A dialectal var. of Ifeoma,,,,,,,
Ihuaku,,,,,/Ihu-ak?/ lit: The face of wealth. Imp: The one that would open the doors of wealth. A dialectal var. of Iruaku,,,,,,,
Ihuoma,,,,,/Ihu-?ma/ A Favourable disposition,,,,,,,
Ijeoma,,,,,/Ije-?ma/ Fruitful Journey,,,,,,,
Ike,,,,,/Ike/ Power; Strength,,,,,,,
Ikeagwuonwu,,,,,/Ike-agw?-?nw?/ Death never tires,,,,,,,
Ikechukwu,,,,,/Ike-chukwu/ God's power,,,,,,,
Ikelionwu,,,,,/Ike-eri-onw?/ Contraction of the name: Ike-emerie-?nw?; It is not by raw strength that death is overcome. variation: Ikerionwu,,,,,,,
Ikem,,,,,/Ike-m/ My Strength. Short for Ikemefuna,,,,,,,
Ikemba,,,,,/Ike-mba/ The combined power or strength of the community,,,,,,,
Ikeme,,,,,/Ike-eme/ Physical strength does not suffice.,,,,,,,
Ikemefuna,,,,,/Ike-m-efuna/ May I not lose my strength,,,,,,,
Ikemerionwu,,,,,/Ike-emer?go-?nw?/ Strength has overcome death.,,,,,,,
Ikenga,,,,,"/Ike-nga/ A personal/family god of independence, industry and enterprise",,,,,,,
Ikenna,,,,,/Ike-nna/ The strength of the father,,,,,,,
Ikeokpara,,,,,/Ike-?kpara/ The strength of the first male child,,,,,,,
Ikeokwu,,,,,/Ike-okwu/ The power of words,,,,,,,
Ikeotuonye,,,,,/Ike-otu-onye/ The power of a single individual,,,,,,,
Ikerionwu,,,,,/Ike-erie-?nw?/ Contraction of Ikemerionwu,,,,,,,
Ikoku,,,,,A anglicised rendering of  Ikeokwu,,,,,,,
Ikokwu,,,,,A contraction of Ikeokwu,,,,,,,
Ikpe,,,,,/Ikpe/ Judgment or Case,,,,,,,
Ikpeazu,,,,,/Ikpe-azu/ 1. Secret Judgment. 2. To come last,,,,,,,
Ikpeze,,,,,The King's Judgement,,,,,,,
Ikpokolo,,,,,/Ikpe-Okolo/ Request or case for male child,,,,,,,
Iloabuchi,,,,,/Ilo-ab?gh?-chi/ One's enemy is not his Chi,,,,,,,
Ilobi,,,,,/Ilo-obi/ The enmity/enemy within the Obi. A dialectal var. of Irobi,,,,,,,
Ilodinjo,,,,,/Ilo-d?-nj?/  Enmity is bad.,,,,,,,
Iloegbunam,,,,,/Ilo-egbuna-m/ May my enemy not kill me,,,,,,,
Iloghalu,,,,,/Ilo-gha-lu/ Let enemies/enmity be far (from us),,,,,,,
Ilorah,,,,,/Ilo-raa/ Let (my) enemies let me be,,,,,,,
Ilouno,,,,,/Ilo-?n?/ The enemy within,,,,,,,
Ilozue,,,,,/Ilo-zue/lit:The enemies gather,,,,,,,
Imedegwu,,,,,,,,,,,,
Imoh,,,,,/Imo/ A deity,,,,,,,
Imoka,,,,,/Imo-ka/ Imo is preeminent . ,,,,,,,
Inyama,,,,,,,,,,,,
Iroabuchi,,,,,/Iro-ab?-chi/ The enemy is not (your) God.,,,,,,,
Iroaganachi,,,,,/Iro-agana-chi/ May my enemies not overtake my chi,,,,,,,
Irobi,,,,,/Iro-obi/ The enmity/enemy in the Obi. A dialectal var. of Ilobi,,,,,,,
Ironsi,,,,,/Iro-nsi/ lit: The enemy of ns? (a juju designed to cause ill fortune). imp: One who wouldn't condone ill will towards others.,,,,,,,
Iruaku,,,,,/Iru-ak?/ The face of wealth. A dialectal var. of Ihuaku,,,,,,,
Iruka,,,,,/?r?-ka/ The future holds better prospect,,,,,,,
Isioma,,,,,/Isi-?ma/ Good fortune. Fortunate Lit. Meaning: Good head. See Chioma,,,,,,,
Isiugo,,,,,/Isi-ugo/ A head of honour. Honoured. See Isioma,,,,,,,
Itumo,,,,,,,,,,,,
Ivenso,,,,,,,,,,,,
Iweala,,,,,/Iwe-ala/ The anger of the earth goddess,,,,,,,
Iweanaoge,,,,,,,,,,,,
Iwegbunam,,,,,"/Iwe-egbuna-m/ lit: May anger not consume me. See Iloegbunam, Maduegbunam.",,,,,,,
Iweka,,,,,"/Iwe-ka/ short for the expression ""Iwe ka na ?n?"". There is more anger at home. See Iloka,",,,,,,,
Iwu,,,,,"/Iwu/ Law or command (usually of either of any of Igbo deities eg. In Iwuagwu, Iwuanyanwu and latter in the Christian influenced Iwuchukwu)",,,,,,,
Iwuagwu,,,,,/Iwu-chukwu/ The law or command of Agwu,,,,,,,
Iwuanyanwu,,,,,/Iwu-anyanwu/ The law or command of Anyanwu (Sun goddess),,,,,,,
Iwuchukwu,,,,,/Iwu-chukwu/ The law or command of God,,,,,,,
Iwuno,,,,,/Iwu-un?/The rule guiding a home,,,,,,,
Izu,,,,,"/Izu/ Meeting or Gathering; a Plot or a Conspiracy Also short for Izuakor, Izuegbunam, Izukanne, Izunna, Izuchukwu, ",,,,,,,
Izuakor,,,,,"/Izu-ak?/ short for the expression: ""Izu-ak?na-m"" May I always access the benefits of a meeting",,,,,,,
Izuchukwu,,,,,"/Izu-chukwu/ Short for the expression: ""Izu-chukwu-zutere"" A plot that God has made possible.",,,,,,,
Izuegbunam,,,,,/Izu-egbuna-m/ May I not die by a conspiracy.,,,,,,,
Izukanne,,,,,,,,,,,,
Izundu,,,,,/Izu-ndu/ A plot by Life. ,,,,,,,
Izunna,,,,,/Izu-nna/ The father's plot,,,,,,,
Izuorah,,,,,/Izu-?ra/ lit: A plot bythe people,,,,,,,
Jibuike,,,,,/Ji-b?-ike/ Yam is might,,,,,,,
Jidenna,,,,,/Jide-nna/ Hold on to the father,,,,,,,
Jideobi,,,,,/Jide-obi/ Hold (firmly) the family,,,,,,,
Jideofor,,,,,/Jide-?f?/ Act in good faith,,,,,,,
Jiroh,,,,,/Ji-ro/ Short form of the expression: Ji-ro-na-?ba: Yam abounds in the barn.,,,,,,,
Kainene,,,,,/Ka-any?-na-ene/ Let us watch ,,,,,,,
Kanayo,,,,,/Ka-ana-ay?/ Lets keep offering supplications. Commonly Kanayochukwu,,,,,,,
Kanayochukwu,,,,,/Ka-ana-ay?-chukwu/ Lets keep offering supplications to God,,,,,,,
Kanu,,,,,,,,,,,,
Kaoguluonye,,,,,/Ka-?g?l?-onye/ lit: Whatever an individual craves. ,,,,,,,
Kaosolu,,,,,/Ka-?s?l?/ As it pleases. Commonly: Kaosoluchukwu,,,,,,,
Kaosoluchukwu,,,,,/Ka-?s?l?-chukwu/ As it pleases God,,,,,,,
Kasie,,,,,/Kas?e/ Console.  short for Kasiemobi,,,,,,,
Kasiemobi,,,,,/Kas?e-m-obi/ Console (my heart),,,,,,,
Kechi,,,,,Short for Nkechi,,,,,,,
Kosarachi,,,,,/K?sara-chi/ Tell it to God,,,,,,,
Kosolu,,,,,/Ka-?s?l?/ see: Kaosolu,,,,,,,
Kosoluchukwu,,,,,/Ka-?s?l?-chukwu/ see: Kaosoluchukwu,,,,,,,
Kwerenachi,,,,,/Kwere-na-chi/ Believe in God,,,,,,,
Lotachukwu,,,,,/Lota-chukwu/ Remember God,,,,,,,
Lotanna,,,,,/Lota-nna/ Remember the father,,,,,,,
Madichie,,,,,,,,,,,,
Madiebo,,,,,"/Mmadi-ebo/ full expression: ""Madiebonam"" a dialectal equivalent of /Mmaduebonam/ May people not (falsely) accuse me. A var. of Aniebonam",,,,,,,
Madu,,,,,/Mmad?/ Human(s). Commonly a contraction of any Madu-prefixed names. ,,,,,,,
Maduabuchi,,,,,"/Mmad?-ab?gh?-chi/ Man is no chi. A var. of Ibeabuchi, Iloabuchi",,,,,,,
Maduakor,,,,,"/Mmad?-ak?/ May people never cease to surround me. Full expression:""Mmad?-ak?-na-m"". imp: May I always find help. A var of Ibeakor",,,,,,,
Madueke,,,,,,,,,,,,
Maduka,,,,,"/Mmad?-ka/ full expression: ""Mmad?-ka-eji-aka"". We prevail with the help of other people. imp. No one is an island- better to have people than to have money.",,,,,,,
Madukife,,,,,,,,,,,,
